Date,PG,MSFT,F,GE
1995-01-03,8.892672,2.486748,4.969533,3.106694
1995-01-04,8.821389,2.504825,5.103244,3.106694
1995-01-05,8.696643,2.463508,5.058674,3.1143080000000003
1995-01-06,8.714463,2.504825,5.058674,3.099077
1995-01-09,8.678818,2.489331,5.147812,3.068622
1995-01-10,8.785749000000001,2.520317,5.058674,3.0914639999999998
1995-01-11,8.767925,2.5358110000000003,5.058674,3.137151
1995-01-12,8.857032,2.530647,5.014105000000001,3.129536
1995-01-13,8.960979,2.592622,5.103244,3.167609
1995-01-16,9.032668,2.649433,5.170097,3.20568
1995-01-17,9.06851,2.6700909999999998,5.125529,3.167609
1995-01-18,8.871369,2.688167,5.036389,3.182836
1995-01-19,8.835523,2.6236099999999998,4.902679,3.106694
1995-01-20,8.799685,2.5461400000000003,4.702114,3.106694
1995-01-23,8.889292,2.595205,4.679831,3.0610060000000003
1995-01-24,8.871369,2.562279,4.636615,3.068622
1995-01-25,8.996825,2.5513060000000003,4.704139,3.0914639999999998
1995-01-26,9.032668,2.473836,4.569091,3.106694
1995-01-27,9.283572,2.473836,4.569091,3.076236
1995-01-30,9.42695,2.437684,4.4565529999999995,3.1143080000000003
1995-01-31,9.337338,2.453179,4.546584999999999,3.137151
1995-02-01,9.158122,2.4428490000000003,4.524076,3.1143080000000003
1995-02-02,9.22981,2.437684,4.61411,3.121921
1995-02-03,9.319417,2.484166,4.636615,3.175223
1995-02-06,9.534477,2.515152,4.61411,3.167609
1995-02-07,9.516562,2.520317,4.569091,3.167609
1995-02-08,9.409028,2.55647,4.591601,3.167609
1995-02-09,9.391108000000001,2.55647,4.546584999999999,3.182836
1995-02-10,9.373186,2.561634,4.659123,3.175223
1995-02-13,9.444874,2.561634,4.636615,3.20568
1995-02-14,9.355259,2.55647,4.704139,3.20568
1995-02-15,9.355259,2.509988,4.704139,3.266597
1995-02-16,9.373186,2.515152,4.721014,3.297054
1995-02-17,9.42695,2.494494,4.726647,3.266597
1995-02-21,9.498641000000001,2.468672,4.726647,3.281826
1995-02-22,9.42695,2.5409759999999997,4.794169999999999,3.35797
1995-02-23,9.534477,2.5461400000000003,4.794169999999999,3.3731989999999996
1995-02-24,9.570329,2.530647,4.816679,3.335125
1995-02-27,9.516562,2.5513060000000003,4.681633000000001,3.266597
1995-02-28,9.534477,2.602951,4.704139,3.335125
1995-03-01,9.409028,2.613281,4.61411,3.452086
1995-03-02,9.480714,2.633939,4.569091,3.3883050000000003
1995-03-03,9.480714,2.628774,4.61411,3.3803330000000003
1995-03-06,9.534477,2.657179,4.591601,3.364389
1995-03-07,9.373186,2.699784,4.591601,3.3564160000000003
1995-03-08,9.355259,2.830193,4.569091,3.3962779999999997
1995-03-09,9.462791000000001,2.80437,4.636615,3.3962779999999997
1995-03-10,9.642011,2.832776,4.794169999999999,3.491949
1995-03-13,9.642011,2.850852,4.839186,3.483977
1995-03-14,9.839153,2.964472,4.726647,3.507893
1995-03-15,9.874999,2.912827,4.704139,3.4281699999999997
1995-03-16,9.821234,2.897332,4.681633000000001,3.499922
1995-03-17,9.946686999999999,2.889585,4.636615,3.460058
1995-03-20,9.964607,2.9386490000000003,4.569091,3.452086
1995-03-21,9.946686999999999,2.910244,4.569091,3.468031
1995-03-22,9.946686999999999,2.930903,4.524076,3.483977
1995-03-23,9.892922,3.005789,4.524076,3.476003
1995-03-24,10.036297,3.05227,4.591601,3.507893
1995-03-27,9.892922,3.0161189999999998,4.681633000000001,3.483977
1995-03-28,9.839153,3.041941,4.681633000000001,3.499922
1995-03-29,9.677855000000001,2.985131,4.794169999999999,3.507893
1995-03-30,9.624088,2.979965,4.996742,3.491949
1995-03-31,9.498641000000001,2.9386490000000003,4.839186,3.4441129999999998
1995-04-03,9.462791000000001,2.892168,4.884203,3.483977
1995-04-04,9.695779,2.887003,4.794169999999999,3.499922
1995-04-05,9.7137,2.917991,4.771662,3.499922
1995-04-06,9.839153,2.892168,4.884203,3.5238389999999997
1995-04-07,9.85708,2.876674,4.861695,3.499922
1995-04-10,9.85708,2.930903,4.839186,3.507893
1995-04-11,9.659939,2.979965,4.816679,3.491949
1995-04-12,9.731625,2.959307,4.974233,3.491949
1995-04-13,9.749547,2.99546,4.9067110000000005,3.507893
1995-04-17,9.601822,3.196879,4.861695,3.43614
1995-04-18,9.781971,3.171056,4.884203,3.4441129999999998
1995-04-19,9.781971,3.145234,4.996742,3.491949
1995-04-20,9.890058999999999,3.10908,4.929218,3.4441129999999998
1995-04-21,9.962117999999998,3.098751,4.861695,3.507893
1995-04-24,10.088222,3.212374,4.9067110000000005,3.5397849999999997
1995-04-25,9.799989,3.305335,4.951726,3.5557279999999998
1995-04-26,9.872044,3.2898410000000005,4.917125,3.5637
1995-04-27,9.836015,3.248526,4.894361,3.595591
1995-04-28,10.070209,3.37764,4.939891,3.571671
1995-05-01,9.998145,3.393133,4.917125,3.595591
1995-05-02,10.070209,3.287258,4.848835,3.587619
1995-05-03,10.232339,3.3414870000000003,4.826069,3.611537
1995-05-04,10.250355,3.36731,4.735011,3.6434260000000003
1995-05-05,10.142267,3.305335,4.826069,3.6593699999999996
1995-05-08,10.322414,3.3001699999999996,4.871596,3.731124
1995-05-09,10.268373,3.297587,4.939891,3.739096
1995-05-10,10.232339,3.274346,5.167535,3.770986
1995-05-11,10.196309,3.3621449999999995,5.008184,3.72315
1995-05-12,9.998145,3.336322,5.1903,3.7630120000000002
1995-05-15,9.998145,3.3595629999999996,5.34965,3.6753169999999997
1995-05-16,9.962117999999998,3.506753,5.34965,3.627481
1995-05-17,9.944107,3.553234,5.281357,3.6673440000000004
1995-05-18,9.799989,3.4964239999999998,5.1447709999999995,3.603563
1995-05-19,9.799989,3.5274120000000004,5.213064,3.603563
1995-05-22,9.90808,3.604881,5.258594,3.6434260000000003
1995-05-23,9.962117999999998,3.6565269999999996,5.3724169999999996,3.6753169999999997
1995-05-24,9.944107,3.61521,5.258594,3.6434260000000003
1995-05-25,10.124249,3.6875150000000003,5.235828,3.603563
1995-05-26,10.034181,3.61521,5.167535,3.595591
1995-05-30,10.034181,3.4292849999999997,5.167535,3.611537
1995-05-31,10.358439,3.4990069999999998,5.3268889999999995,3.6992339999999997
1995-06-01,10.232339,3.475766,5.463472,3.6992339999999997
1995-06-02,10.124249,3.434451,5.463472,3.619506
1995-06-05,10.106233999999999,3.501588,5.554533,3.691262
1995-06-06,10.196309,3.434451,5.463472,3.6753169999999997
1995-06-07,10.1783,3.4706019999999995,5.463472,3.6593699999999996
1995-06-08,10.196309,3.475766,5.463472,3.627481
1995-06-09,10.124249,3.506753,5.395182,3.5477559999999997
1995-06-12,10.232339,3.4602720000000002,5.440709,3.619506
1995-06-13,10.304397999999999,3.465436,5.417946,3.6673440000000004
1995-06-14,10.358439,3.462854,5.417946,3.68329
1995-06-15,10.448514,3.506753,5.395182,3.68329
1995-06-16,10.538586,3.594553,5.3724169999999996,3.6593699999999996
1995-06-19,10.664694,3.710754,5.440709,3.691262
1995-06-20,10.556604,3.775311,5.554533,3.6514
1995-06-21,10.610649,3.73916,5.622825,3.6434260000000003
1995-06-22,10.556604,3.7959680000000002,5.5772949999999994,3.6514
1995-06-23,10.268373,3.764983,5.554533,3.6434260000000003
1995-06-26,10.340427,3.7081720000000002,5.531766,3.627481
1995-06-27,10.430498,3.589389,5.509004,3.619506
1995-06-28,10.466528,3.630703,5.509004,3.619506
1995-06-29,10.412481,3.692679,5.440709,3.571671
1995-06-30,10.358439,3.733996,5.417946,3.7607129999999995
1995-07-03,10.394469,3.7572349999999997,5.531766,3.806575
1995-07-05,10.286383,3.7469069999999998,5.600059,3.852438
1995-07-06,10.088222,3.832121,5.827706,3.9358239999999998
1995-07-07,9.944107,3.950908,5.8959980000000005,4.002534
1995-07-10,9.962117999999998,4.085187,5.987056,3.9858540000000002
1995-07-11,10.070209,3.98706,5.873236,3.9358239999999998
1995-07-12,10.088222,4.126505,5.941529,3.944164
1995-07-13,10.034181,4.136833,5.8959980000000005,3.9024699999999997
1995-07-14,10.016160000000001,4.281441,5.827706,3.877453
1995-07-17,10.016160000000001,4.50352,5.827706,3.969179
1995-07-18,10.016160000000001,4.209137,5.64559,3.9358239999999998
1995-07-19,9.96543,3.9044269999999996,5.486235,3.877453
1995-07-20,9.711763000000001,3.971566,5.281357,3.96084
1995-07-21,9.693645,3.801136,5.258594,3.9941949999999995
1995-07-24,9.748001,3.868275,5.235828,3.9775169999999997
1995-07-25,9.856712,3.981894,5.440709,3.9775169999999997
1995-07-26,10.110384,3.9664010000000003,5.3724169999999996,3.9525
1995-07-27,10.164738999999999,3.98706,5.417946,3.9525
1995-07-28,10.110384,3.8269589999999996,5.3268889999999995,3.919146
1995-07-31,9.983551,3.73916,5.337932,3.9358239999999998
1995-08-01,9.96543,3.6978419999999996,5.268909,3.910807
1995-08-02,10.074145,3.6771839999999996,5.291914,3.8274239999999997
1995-08-03,9.911071000000002,3.764983,5.2459,3.8274239999999997
1995-08-04,10.092266,3.878603,5.291914,3.8441019999999995
1995-08-07,10.056021000000001,3.868275,5.337932,3.919146
1995-08-08,10.001667,3.863111,5.337932,3.9358239999999998
1995-08-09,9.911071000000002,3.98706,5.2459,3.910807
1995-08-10,9.947311000000001,3.8889339999999994,5.222891000000001,3.8691150000000003
1995-08-11,9.96543,3.98706,5.153868,3.852438
1995-08-14,9.983551,4.0800220000000005,5.3149239999999995,3.910807
1995-08-15,9.911071000000002,4.06453,5.268909,3.910807
1995-08-16,9.748001,4.0800220000000005,5.2459,3.885793
1995-08-17,9.711763000000001,4.095516,5.199883,3.8441019999999995
